priority,faq_id,category,question,current_answer,risk_type,audit_reason,suggested_status,suggested_answer_mode,suggested_action,owner_note
P0,faq-033,房價與付款,加床怎麼收費？,超過基本人數或需加床時，會依每人每晚或每床規則加收費用，並提供相應寢具與備品。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-034,房價與付款,尾款可以什麼時候付？,尾款支付時間與方式會在訂房確認訊息中載明，常見為入住前匯款或入住當日結清。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-035,房價與付款,可以刷卡嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-036,房價與付款,可以用轉帳嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-037,房價與付款,可以用現金嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-038,房價與付款,可以用行動支付嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-039,房價與付款,可以開發票嗎？,如需發票、收據、公司抬頭或統編，請在付款前提供資料；可開立格式依民宿稅籍與作業規定。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-040,房價與付款,可以報公司帳嗎？,如需發票、收據、公司抬頭或統編，請在付款前提供資料；可開立格式依民宿稅籍與作業規定。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-041,房價與付款,可以分開付款嗎？,多人付款建議由一位代表統一付款；若需分開付款，請先確認民宿是否可協助對帳。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-042,房價與付款,多人包棟可以各自轉帳嗎？,包棟通常依日期、基本人數、加人數與設施使用範圍計價；確認總人數後會提供完整報價。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-043,房價與付款,付款後如何確認？,付款後請回傳訂房姓名、入住日期、金額與帳號後五碼；若匯錯金額請立即聯繫協助補差或退款。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-044,房價與付款,匯錯金額怎麼辦？,付款後請回傳訂房姓名、入住日期、金額與帳號後五碼；若匯錯金額請立即聯繫協助補差或退款。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-045,房價與付款,訂金可以折抵房費嗎？,訂金會計入總房費，尾款只需支付扣除訂金後的餘額；實際尾款金額與付款方式會在管家確認訊息中列明。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-046,房價與付款,價格可以優惠嗎？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-047,房價與付款,連住有優惠嗎？,若有官網優惠、早鳥、連住、生日或紀念日活動，會依當期公告適用；請先提供日期與需求。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-048,房價與付款,生日或紀念日有優惠嗎？,若有官網優惠、早鳥、連住、生日或紀念日活動，會依當期公告適用；請先提供日期與需求。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-049,房價與付款,寵物需要另外收費嗎？,寵物可能依種類、數量與大小收取清潔費或押金；請訂房時先告知，費用會事前說明。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-050,房價與付款,押金什麼時候退？,押金通常於退房檢查無損壞、無違規與無額外清潔需求後退還，退還方式以民宿公告為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-051,取消改期與不可抗力,取消訂房可以退訂金嗎？,取消與退款依訂房時同意的政策、通知時間與付款方式辦理；請越早聯繫越能保留彈性。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-052,取消改期與不可抗力,14天前取消可以全退嗎？,若採訂金制，旅客於預定住宿日前第14日以前通知取消，通常可請求退還已付訂金100%。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-053,取消改期與不可抗力,入住前10到13天取消怎麼算？,若採訂金制，預定住宿日前第10日至第13日通知取消，通常可請求退還訂金70%。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-054,取消改期與不可抗力,入住前7到9天取消怎麼算？,若採訂金制，預定住宿日前第7日至第9日通知取消，通常可請求退還訂金50%。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-055,取消改期與不可抗力,入住前4到6天取消怎麼算？,若採訂金制，預定住宿日前第4日至第6日通知取消，通常可請求退還訂金40%。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-056,取消改期與不可抗力,入住前2到3天取消怎麼算？,若採訂金制，預定住宿日前第2日至第3日通知取消，通常可請求退還訂金30%。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-057,取消改期與不可抗力,入住前一天取消怎麼算？,若採訂金制，預定住宿日前第1日通知取消，通常可請求退還訂金20%。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-058,取消改期與不可抗力,入住當天取消會退費嗎？,入住當天取消、未通知或未入住，通常可能不退還訂金或預付款；請盡早聯繫確認可否改期。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-059,取消改期與不可抗力,臨時不能去可以改期嗎？,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-060,取消改期與不可抗力,改期需要手續費嗎？,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-061,取消改期與不可抗力,改期後還可以再取消嗎？,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-062,取消改期與不可抗力,颱風可以取消嗎？,若因颱風、地震、停班停課或交通中斷影響入住，請立即聯繫；會依政府公告、交通狀況與訂房政策協助退費或延期。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-063,取消改期與不可抗力,如果宜蘭停班停課可以退嗎？,若因颱風、地震、停班停課或交通中斷影響入住，請立即聯繫；會依政府公告、交通狀況與訂房政策協助退費或延期。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-064,取消改期與不可抗力,下雨可以取消或延期嗎？,一般降雨多屬個人行程考量，不一定符合不可抗力；若達危險天候或交通中斷，請提供狀況讓民宿判斷。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-065,取消改期與不可抗力,有人生病可以取消嗎？,請主動告知並避免帶病入住；民宿會依當期規範、證明文件與訂房政策協助取消或延期。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-066,取消改期與不可抗力,確診或傳染病可以延期嗎？,請主動告知並避免帶病入住；民宿會依當期規範、證明文件與訂房政策協助取消或延期。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-067,取消改期與不可抗力,人數減少可以退差價嗎？,請於入住前盡早告知；是否可退差額需依原方案、人數規則與通知時間辦理。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-068,取消改期與不可抗力,人數增加可以補費嗎？,增加人數需先確認未超過最大容納且備品足夠，再依加人費補差額；請勿未告知自行增加入住者。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-069,取消改期與不可抗力,可以更換房型嗎？,可依當日房況協助更換；若房價不同，需補差額或依民宿規則處理差價。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-070,取消改期與不可抗力,可以少住一天嗎？,住宿天數變更需盡早提出；若已進入取消期限或為特殊方案，未住宿晚數不一定能退費。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-071,取消改期與不可抗力,可以延長住宿嗎？,若後續日期仍有空房，可以協助延住；延住房價以當日公告或民宿正式回覆為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-072,取消改期與不可抗力,平台訂房要怎麼取消？,平台訂房請優先在平台訂單中操作取消或變更；平台政策與民宿直接訂房政策可能不同。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-073,取消改期與不可抗力,官網訂房要怎麼取消？,請透過官方LINE、電話或訂房系統提出，並提供訂房姓名、日期、訂單編號、付款金額與退款帳戶資料。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-074,取消改期與不可抗力,退費多久會入帳？,退款時間會依付款方式、銀行作業與民宿處理流程而不同；確認資料完整後會告知預計辦理時間。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-075,取消改期與不可抗力,取消訂房需要提供什麼資料？,請透過官方LINE、電話或訂房系統提出，並提供訂房姓名、日期、訂單編號、付款金額與退款帳戶資料。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-080,入住退房與抵達,最晚可以幾點入住？,入住時間以民宿公告為準，常見為下午3點或4點後；提早抵達請先確認房間是否已整理完成。,known_high_risk,入住時間可能與 guesthouse-rules.md 的 16:00-17:00 不一致,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-083,入住退房與抵達,入住需要出示身分證嗎？,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-105,交通停車與周邊,停車要收費嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-110,交通停車與周邊,搭火車怎麼到？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,known_high_risk,問題問火車交通，但目前答案偏向停車資訊,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-112,交通停車與周邊,附近有公車嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,known_high_risk,問題問公車，但目前答案偏向停車資訊,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-114,交通停車與周邊,可以幫忙叫計程車嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,known_high_risk,問題問叫車服務，但目前答案偏向停車資訊,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-125,交通停車與周邊,退房後去景點順路嗎？,請依官方路線慢速行駛；若遇豪雨、颱風或道路封閉，請先聯繫民宿確認是否適合前往。,known_high_risk,退房後景點路線題不可用泛用答案直接承諾,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-148,人數房型與包棟,包棟可以分房收費嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-205,早餐餐飲與廚房,早餐一份多少錢？,早餐代訂費用以當期公告為準；目前規劃每份約 250 元，實際內容、價格與是否可供應會由管家確認後回覆。,known_high_risk,早餐價格與 guesthouse-rules.md 的價格未提供需要人工確認,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-229,寵物友善,寵物需要收費嗎？,寵物相關費用、清潔費或押金會依寵物種類、數量、大小與當期規範確認；慢寶不會直接承諾固定金額，管家會在訂房前說明清楚。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-243,寵物友善,寵物掉毛會被收費嗎？,一般正常掉毛會納入寵物入住清潔考量；若掉毛、異味或髒污嚴重，可能依寵物清潔規範收取額外清潔費，實際以管家確認為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-301,噪音禁菸安全與規範,晚上幾點後要安靜？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-302,噪音禁菸安全與規範,包棟也需要安靜嗎？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-303,噪音禁菸安全與規範,可以唱歌唱到幾點？,請依民宿公告遵守安靜時段，常見為晚上10點後降低音量；包棟也需顧及鄰居與公共安寧。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-304,噪音禁菸安全與規範,可以在室內吸菸嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-305,噪音禁菸安全與規範,陽台可以抽菸嗎？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-306,噪音禁菸安全與規範,電子菸可以嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-307,噪音禁菸安全與規範,有吸菸區嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-308,噪音禁菸安全與規範,房間有煙味會收費嗎？,室內、房間與公告禁菸區不得吸菸或使用電子菸；若留下煙味或菸蒂，可能收除味清潔費並依法處理。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-309,噪音禁菸安全與規範,可以點香或燒金紙嗎？,為消防安全，通常禁止室內明火、點香、燒金紙、煙火與仙女棒；如有需求請先詢問。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-310,噪音禁菸安全與規範,可以放煙火嗎？,為消防安全，通常禁止室內明火、點香、燒金紙、煙火與仙女棒；如有需求請先詢問。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
