編號,分類,常見問題,建議標準答案,關鍵字
17,01 訂房與空房,可以訂當天住宿嗎？,若當日仍有空房且整理時間足夠，可以接受當日訂房；建議先電話或LINE確認後再前往。,可以訂當天住宿嗎
18,01 訂房與空房,官網、平台和LINE價格一樣嗎？,不同通路可能因平台費用、活動或付款條件而有差異，以實際下訂頁面或民宿正式回覆報價為準。,官網、平台和LI
19,01 訂房與空房,訂房成功會收到什麼資料？,訂房確認後會提供入住日期、退房日期、住宿方式、入住人數、金額、付款狀態、入住須知與聯絡方式；若未收到，請用訂房姓名與日期向官方 LINE 查詢。,訂房
20,01 訂房與空房,我沒收到確認信怎麼辦？,請先確認垃圾信件匣或信箱是否填錯；若仍未收到，請透過官方 LINE 提供訂房姓名、入住日期與聯絡電話，管家會協助查詢。,我沒收到確認信怎
21,01 訂房與空房,訂房姓名可以更改嗎？,可協助變更或代訂，但入住時需提供實際入住代表人的真實資料並完成住宿登記。,訂房
22,01 訂房與空房,可以幫朋友或家人代訂嗎？,可協助變更或代訂，但入住時需提供實際入住代表人的真實資料並完成住宿登記。,可以幫朋友或家人
23,01 訂房與空房,未成年可以自己訂房嗎？,通常需由成年人作為訂房與入住代表；未成年同行請由家長或監護人確認並遵守民宿規定。,訂房
24,01 訂房與空房,可以訂長住嗎？,可提供入住期間與人數讓我們評估房況、清潔安排與價格；長住規則可能與一般住宿不同。,可以訂長住嗎
25,01 訂房與空房,訂房需要提供哪些資料？,請提供入住日期、退房日期、人數、房型或包棟需求與特殊需求，我們會協助確認最適合的訂房方式。,訂房
26,02 房價與付款,房價是多少？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,房價是多少
27,02 房價與付款,包棟價格怎麼算？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,包棟
28,02 房價與付款,價格包含哪些費用？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,價格包含哪些費用
29,02 房價與付款,有另外收清潔費嗎？,一般正常清潔多已包含於報價；若有寵物、嚴重髒污、嘔吐、煙味或設備損壞，可能依規定另收費。,清潔
30,02 房價與付款,小孩也算人數嗎？,兒童或嬰兒是否計費會依年齡、身高、是否佔床與民宿規定判斷；請提供孩子年齡方便確認。,小孩也算人數嗎
31,02 房價與付款,嬰兒需要收費嗎？,兒童或嬰兒是否計費會依年齡、身高、是否佔床與民宿規定判斷；請提供孩子年齡方便確認。,嬰兒需要收費嗎
32,02 房價與付款,加人怎麼收費？,超過基本人數或需加床時，會依每人每晚或每床規則加收費用，並提供相應寢具與備品。,加人怎麼收費
33,02 房價與付款,加床怎麼收費？,超過基本人數或需加床時，會依每人每晚或每床規則加收費用，並提供相應寢具與備品。,加床怎麼收費
34,02 房價與付款,尾款可以什麼時候付？,尾款支付時間與方式會在訂房確認訊息中載明，常見為入住前匯款或入住當日結清。,尾款可以什麼時候
35,02 房價與付款,可以刷卡嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,可以刷卡嗎
36,02 房價與付款,可以用轉帳嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,可以用轉帳嗎
37,02 房價與付款,可以用現金嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,可以用現金嗎
38,02 房價與付款,可以用行動支付嗎？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,可以用行動支付嗎
39,02 房價與付款,可以開發票嗎？,如需發票、收據、公司抬頭或統編，請在付款前提供資料；可開立格式依民宿稅籍與作業規定。,發票
40,02 房價與付款,可以報公司帳嗎？,如需發票、收據、公司抬頭或統編，請在付款前提供資料；可開立格式依民宿稅籍與作業規定。,可以報公司帳嗎
41,02 房價與付款,可以分開付款嗎？,多人付款建議由一位代表統一付款；若需分開付款，請先確認民宿是否可協助對帳。,可以分開付款嗎
42,02 房價與付款,多人包棟可以各自轉帳嗎？,包棟通常依日期、基本人數、加人數與設施使用範圍計價；確認總人數後會提供完整報價。,包棟
43,02 房價與付款,付款後如何確認？,付款後請回傳訂房姓名、入住日期、金額與帳號後五碼；若匯錯金額請立即聯繫協助補差或退款。,付款後如何確認
44,02 房價與付款,匯錯金額怎麼辦？,付款後請回傳訂房姓名、入住日期、金額與帳號後五碼；若匯錯金額請立即聯繫協助補差或退款。,匯錯金額怎麼辦
45,02 房價與付款,訂金可以折抵房費嗎？,訂金會計入總房費，尾款只需支付扣除訂金後的餘額；實際尾款金額與付款方式會在管家確認訊息中列明。,訂金
46,02 房價與付款,價格可以優惠嗎？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,價格可以優惠嗎
47,02 房價與付款,連住有優惠嗎？,若有官網優惠、早鳥、連住、生日或紀念日活動，會依當期公告適用；請先提供日期與需求。,連住有優惠嗎
48,02 房價與付款,生日或紀念日有優惠嗎？,若有官網優惠、早鳥、連住、生日或紀念日活動，會依當期公告適用；請先提供日期與需求。,生日或紀念日有優
49,02 房價與付款,寵物需要另外收費嗎？,寵物可能依種類、數量與大小收取清潔費或押金；請訂房時先告知，費用會事前說明。,寵物
50,02 房價與付款,押金什麼時候退？,押金通常於退房檢查無損壞、無違規與無額外清潔需求後退還，退還方式以民宿公告為準。,押金什麼時候退
51,03 取消改期與不可抗力,取消訂房可以退訂金嗎？,取消與退款依訂房時同意的政策、通知時間與付款方式辦理；請越早聯繫越能保留彈性。,訂房、訂金、取消
52,03 取消改期與不可抗力,14天前取消可以全退嗎？,若採訂金制，旅客於預定住宿日前第14日以前通知取消，通常可請求退還已付訂金100%。,取消
53,03 取消改期與不可抗力,入住前10到13天取消怎麼算？,若採訂金制，預定住宿日前第10日至第13日通知取消，通常可請求退還訂金70%。,取消、入住
54,03 取消改期與不可抗力,入住前7到9天取消怎麼算？,若採訂金制，預定住宿日前第7日至第9日通知取消，通常可請求退還訂金50%。,取消、入住
55,03 取消改期與不可抗力,入住前4到6天取消怎麼算？,若採訂金制，預定住宿日前第4日至第6日通知取消，通常可請求退還訂金40%。,取消、入住
56,03 取消改期與不可抗力,入住前2到3天取消怎麼算？,若採訂金制，預定住宿日前第2日至第3日通知取消，通常可請求退還訂金30%。,取消、入住
57,03 取消改期與不可抗力,入住前一天取消怎麼算？,若採訂金制，預定住宿日前第1日通知取消，通常可請求退還訂金20%。,取消、入住
58,03 取消改期與不可抗力,入住當天取消會退費嗎？,入住當天取消、未通知或未入住，通常可能不退還訂金或預付款；請盡早聯繫確認可否改期。,取消、入住
59,03 取消改期與不可抗力,臨時不能去可以改期嗎？,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,改期
60,03 取消改期與不可抗力,改期需要手續費嗎？,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,改期
61,03 取消改期與不可抗力,改期後還可以再取消嗎？,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,取消、改期
62,03 取消改期與不可抗力,颱風可以取消嗎？,若因颱風、地震、停班停課或交通中斷影響入住，請立即聯繫；會依政府公告、交通狀況與訂房政策協助退費或延期。,取消
63,03 取消改期與不可抗力,如果宜蘭停班停課可以退嗎？,若因颱風、地震、停班停課或交通中斷影響入住，請立即聯繫；會依政府公告、交通狀況與訂房政策協助退費或延期。,如果宜蘭停班停課
64,03 取消改期與不可抗力,下雨可以取消或延期嗎？,一般降雨多屬個人行程考量，不一定符合不可抗力；若達危險天候或交通中斷，請提供狀況讓民宿判斷。,取消
65,03 取消改期與不可抗力,有人生病可以取消嗎？,請主動告知並避免帶病入住；民宿會依當期規範、證明文件與訂房政策協助取消或延期。,取消
66,03 取消改期與不可抗力,確診或傳染病可以延期嗎？,請主動告知並避免帶病入住；民宿會依當期規範、證明文件與訂房政策協助取消或延期。,確診或傳染病可以
67,03 取消改期與不可抗力,人數減少可以退差價嗎？,請於入住前盡早告知；是否可退差額需依原方案、人數規則與通知時間辦理。,人數減少可以退差
68,03 取消改期與不可抗力,人數增加可以補費嗎？,增加人數需先確認未超過最大容納且備品足夠，再依加人費補差額；請勿未告知自行增加入住者。,人數增加可以補費
69,03 取消改期與不可抗力,可以更換房型嗎？,可依當日房況協助更換；若房價不同，需補差額或依民宿規則處理差價。,可以更換房型嗎
70,03 取消改期與不可抗力,可以少住一天嗎？,住宿天數變更需盡早提出；若已進入取消期限或為特殊方案，未住宿晚數不一定能退費。,可以少住一天嗎
71,03 取消改期與不可抗力,可以延長住宿嗎？,若後續日期仍有空房，可以協助延住；延住房價以當日公告或民宿正式回覆為準。,可以延長住宿嗎
72,03 取消改期與不可抗力,平台訂房要怎麼取消？,平台訂房請優先在平台訂單中操作取消或變更；平台政策與民宿直接訂房政策可能不同。,訂房、取消
73,03 取消改期與不可抗力,官網訂房要怎麼取消？,請透過官方LINE、電話或訂房系統提出，並提供訂房姓名、日期、訂單編號、付款金額與退款帳戶資料。,訂房、取消
74,03 取消改期與不可抗力,退費多久會入帳？,退款時間會依付款方式、銀行作業與民宿處理流程而不同；確認資料完整後會告知預計辦理時間。,退費多久會入帳
75,03 取消改期與不可抗力,取消訂房需要提供什麼資料？,請透過官方LINE、電話或訂房系統提出，並提供訂房姓名、日期、訂單編號、付款金額與退款帳戶資料。,訂房、取消
76,04 入住退房與抵達,幾點可以入住？,入住時間以正式入住通知為準。若需要提早抵達或先放行李，請入住前與管家確認，避免房間尚在清潔整理中。,入住
77,04 入住退房與抵達,幾點要退房？,退房時間以正式入住通知為準。請依指定時間完成退房，以利清潔人員整理與準備下一組客人入住。,退房
78,04 入住退房與抵達,可以提早入住嗎？,提早入住或提前使用公共空間需視前一晚房況與清潔進度而定，建議入住前1至2天再次確認。,入住
79,04 入住退房與抵達,可以延後退房嗎？,延後退房需視後續訂房與清潔安排評估；若可延退，可能依公告加收延退費。,退房
80,04 入住退房與抵達,最晚可以幾點入住？,入住時間以民宿公告為準，常見為下午3點或4點後；提早抵達請先確認房間是否已整理完成。,入住
81,04 入住退房與抵達,晚上很晚到會影響入住嗎？,若會晚到，請提前告知預計抵達時間；我們會依接待方式安排鑰匙、自助入住或管家協助，並請保持安靜。,入住
82,04 入住退房與抵達,入住當天需要帶什麼？,請攜帶身分證明文件、訂房確認資料、付款尾款或付款證明，以及個人藥品與個人用品。,入住
83,04 入住退房與抵達,入住需要出示身分證嗎？,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,入住、身分證
84,04 入住退房與抵達,每個人都要登記資料嗎？,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,每個人都要登記資
85,04 入住退房與抵達,外國旅客可以入住嗎？,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,入住
86,04 入住退房與抵達,可以自助入住嗎？,若提供自助入住，會在入住前提供門禁、鑰匙盒或密碼說明；請勿轉傳給非入住者，退房後密碼會更新。,入住
87,04 入住退房與抵達,鑰匙怎麼拿？,若提供自助入住，會在入住前提供門禁、鑰匙盒或密碼說明；請勿轉傳給非入住者，退房後密碼會更新。,鑰匙怎麼拿
88,04 入住退房與抵達,門鎖密碼什麼時候給？,若提供自助入住，會在入住前提供門禁、鑰匙盒或密碼說明；請勿轉傳給非入住者，退房後密碼會更新。,門鎖密碼什麼時候
89,04 入住退房與抵達,找不到民宿入口怎麼辦？,請依入住通知前往指定入口或報到位置；若找不到，請傳目前位置或直接撥打聯絡電話。,找不到民宿入口怎
90,04 入住退房與抵達,抵達後要先去哪裡報到？,請依入住通知前往指定入口或報到位置；若找不到，請傳目前位置或直接撥打聯絡電話。,抵達後要先去哪裡
91,04 入住退房與抵達,可以先放行李嗎？,可視當日人力與空間提供行李寄放；貴重物品請自行保管，並先告知抵達或取回時間。,行李
92,04 入住退房與抵達,退房後可以寄放行李嗎？,可視當日人力與空間提供行李寄放；貴重物品請自行保管，並先告知抵達或取回時間。,退房、行李
93,04 入住退房與抵達,退房流程是什麼？,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,退房
94,04 入住退房與抵達,退房需要檢查房間嗎？,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,退房
95,04 入住退房與抵達,忘記退房時間怎麼辦？,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,退房
96,04 入住退房與抵達,退房可以不用見到管家嗎？,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,退房
97,04 入住退房與抵達,提早到可以使用公共空間嗎？,提早入住或提前使用公共空間需視前一晚房況與清潔進度而定，建議入住前1至2天再次確認。,提早到可以使用公
98,04 入住退房與抵達,退房後還可以使用設施嗎？,退房後通常不再開放使用房間與公共設施，以利清潔與準備下一組客人；特殊需求請先詢問。,退房
99,04 入住退房與抵達,入住前會提供哪些資訊？,入住前通常會提供地址、導航、停車、入住時間、門禁、Wi-Fi、設備使用、退房流程與緊急聯絡方式。,入住
100,04 入住退房與抵達,入住當天聯絡不到怎麼辦？,請先確認使用官方電話或LINE；緊急狀況依入住通知中的備用電話或緊急聯絡方式處理。,入住
101,05 交通停車與周邊,民宿地址在哪裡？,訂房確認後會提供地址、Google地圖連結與建議路線；建議直接點官方定位，避免導航到相近地點。,民宿地址在哪裡
102,05 交通停車與周邊,導航要輸入什麼？,訂房確認後會提供地址、Google地圖連結與建議路線；建議直接點官方定位，避免導航到相近地點。,導航要輸入什麼
103,05 交通停車與周邊,開車怎麼到？,訂房確認後會提供地址、Google地圖連結與建議路線；建議直接點官方定位，避免導航到相近地點。,開車怎麼到
104,05 交通停車與周邊,有停車位嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,停車
105,05 交通停車與周邊,停車要收費嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,停車
106,05 交通停車與周邊,可以停幾台車？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,可以停幾台車
107,05 交通停車與周邊,休旅車或九人座可以停嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,休旅車或九人座可
108,05 交通停車與周邊,電動車可以充電嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,電動車可以充電嗎
109,05 交通停車與周邊,可以騎機車去嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,可以騎機車去嗎
110,05 交通停車與周邊,搭火車怎麼到？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,搭火車怎麼到
111,05 交通停車與周邊,搭高鐵怎麼到？,可依您的抵達站點與時間提供轉乘、叫車或租車建議；接駁是否提供及費用需事前確認。,搭高鐵怎麼到
112,05 交通停車與周邊,附近有公車嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,附近有公車嗎
113,05 交通停車與周邊,有接駁服務嗎？,可依您的抵達站點與時間提供轉乘、叫車或租車建議；接駁是否提供及費用需事前確認。,有接駁服務嗎
114,05 交通停車與周邊,可以幫忙叫計程車嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,可以幫忙叫計程車
115,05 交通停車與周邊,附近租車方便嗎？,請先提供車輛數與車型；停車位置、可停台數、是否收費與電動車充電限制，以民宿公告為準。,附近租車方便嗎
116,05 交通停車與周邊,路好開嗎？,請依官方路線慢速行駛；若遇豪雨、颱風或道路封閉，請先聯繫民宿確認是否適合前往。,路好開嗎
117,05 交通停車與周邊,下雨天路況會不會危險？,請依官方路線慢速行駛；若遇豪雨、颱風或道路封閉，請先聯繫民宿確認是否適合前往。,下雨天路況會不會
118,05 交通停車與周邊,附近有超商嗎？,可提供最近超商、餐廳、賣場、外送範圍或加油站資訊；郊區夜間店家較少，建議入住前先採買。,附近有超商嗎
119,05 交通停車與周邊,附近有餐廳嗎？,可提供最近超商、餐廳、賣場、外送範圍或加油站資訊；郊區夜間店家較少，建議入住前先採買。,附近有餐廳嗎
120,05 交通停車與周邊,附近有市場或賣場嗎？,可提供最近超商、餐廳、賣場、外送範圍或加油站資訊；郊區夜間店家較少，建議入住前先採買。,附近有市場或賣場
121,05 交通停車與周邊,附近晚上買東西方便嗎？,可提供最近超商、餐廳、賣場、外送範圍或加油站資訊；郊區夜間店家較少，建議入住前先採買。,附近晚上買東西方
122,05 交通停車與周邊,民宿附近會不會很偏僻？,可依您的交通方式、抵達時間與回程方向，提供最順路的交通與周邊建議。,民宿附近會不會很
123,05 交通停車與周邊,叫外送方便嗎？,可提供最近超商、餐廳、賣場、外送範圍或加油站資訊；郊區夜間店家較少，建議入住前先採買。,叫外送方便嗎
124,05 交通停車與周邊,附近有加油站嗎？,可提供最近超商、餐廳、賣場、外送範圍或加油站資訊；郊區夜間店家較少，建議入住前先採買。,附近有加油站嗎
125,05 交通停車與周邊,退房後去景點順路嗎？,請依官方路線慢速行駛；若遇豪雨、颱風或道路封閉，請先聯繫民宿確認是否適合前往。,退房、景點
126,06 人數房型與包棟,最多可以住幾人？,入住人數需依民宿核定、房型配置與安全規定；超過最大容納人數通常不接受，請如實告知大人小孩人數。,最多可以住幾人
127,06 人數房型與包棟,基本人數是幾人？,入住人數需依民宿核定、房型配置與安全規定；超過最大容納人數通常不接受，請如實告知大人小孩人數。,基本人數是幾人
128,06 人數房型與包棟,可以超過最大人數入住嗎？,入住人數需依民宿核定、房型配置與安全規定；超過最大容納人數通常不接受，請如實告知大人小孩人數。,入住
129,06 人數房型與包棟,小孩不佔床可以不算嗎？,小孩是否計入人數需依年齡、身高與是否佔床判斷；請提供年齡方便確認費用與備品。,小孩不佔床可以不
130,06 人數房型與包棟,房間怎麼分配？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,房間怎麼分配
131,06 人數房型與包棟,有幾間房？,慢慢蒔光目前為 5 間主題房配置，主要以包棟 villa 方式提供。若當期有開放單間客房，會依後台設定與人工確認為準。,有幾間房
132,06 人數房型與包棟,每間房有獨立衛浴嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,每間房有獨立衛浴
133,06 人數房型與包棟,有一樓房間嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,有一樓房間嗎
134,06 人數房型與包棟,有雙人房嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,有雙人房嗎
135,06 人數房型與包棟,有四人房嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,有四人房嗎
136,06 人數房型與包棟,床型可以選嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,床型可以選嗎
137,06 人數房型與包棟,可以加被子嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,可以加被子嗎
138,06 人數房型與包棟,可以加枕頭嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,可以加枕頭嗎
139,06 人數房型與包棟,房間可以換床位嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,房間可以換床位嗎
140,06 人數房型與包棟,可以臨時增加人入住嗎？,請先提供入住人數、房型偏好與活動需求，我們會建議最合適的房型或包棟配置。,入住
141,06 人數房型與包棟,沒有過夜的訪客可以來嗎？,未登記訪客不得擅自進入或使用設施；若有日間訪客，請先告知人數、時間與是否需收費。,沒有過夜的訪客可
142,06 人數房型與包棟,朋友可以白天來玩嗎？,未登記訪客不得擅自進入或使用設施；若有日間訪客，請先告知人數、時間與是否需收費。,朋友可以白天來玩
143,06 人數房型與包棟,可以辦活動或聚會嗎？,請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。,可以辦活動或聚會
144,06 人數房型與包棟,求婚或生日派對可以嗎？,請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。,求婚或生日派對可
145,06 人數房型與包棟,可以商業拍攝嗎？,請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。,可以商業拍攝嗎
146,06 人數房型與包棟,可以拍婚紗嗎？,請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。,可以拍婚紗嗎
147,06 人數房型與包棟,包棟可不可以只住少人數？,包棟通常以整棟方案計價，可詢問少人數或分區方案；實際開放範圍與價格以民宿回覆為準。,包棟
148,06 人數房型與包棟,包棟可以分房收費嗎？,可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。,包棟
149,06 人數房型與包棟,可以只租公共空間不住宿嗎？,請先提供入住人數、房型偏好與活動需求，我們會建議最合適的房型或包棟配置。,可以只租公共空間
150,06 人數房型與包棟,管家會住在裡面嗎？,管家有獨立出入口與工作安排，不會任意進入客人使用空間；包棟期間會盡量保留隱私，必要協助會以官方 LINE 或現場約定方式聯繫。,管家會住在裡面嗎
151,07 房間設備與備品,房間有冷氣嗎？,設備依房型頁與現場配置為準；入住後若不會操作，可查看房內說明或聯繫民宿協助。,房間有冷氣嗎
152,07 房間設備與備品,冷氣怎麼開？,設備依房型頁與現場配置為準；入住後若不會操作，可查看房內說明或聯繫民宿協助。,冷氣怎麼開
153,07 房間設備與備品,房間有暖氣嗎？,設備依房型頁與現場配置為準；入住後若不會操作，可查看房內說明或聯繫民宿協助。,房間有暖氣嗎
154,07 房間設備與備品,有Wi-Fi嗎？,Wi-Fi帳號密碼會在入住資訊或房內公告提供；若連線異常請通知民宿協助檢查。,Wi-Fi
155,07 房間設備與備品,Wi-Fi密碼是多少？,Wi-Fi帳號密碼會在入住資訊或房內公告提供；若連線異常請通知民宿協助檢查。,Wi-Fi
156,07 房間設備與備品,房間有電視嗎？,電視與串流服務依房型設備為準；若需使用個人帳號，退房前請記得登出。,房間有電視嗎
157,07 房間設備與備品,電視怎麼操作？,電視與串流服務依房型設備為準；若需使用個人帳號，退房前請記得登出。,電視怎麼操作
158,07 房間設備與備品,有Netflix嗎？,電視與串流服務依房型設備為準；若需使用個人帳號，退房前請記得登出。,有Netflix
159,07 房間設備與備品,房間有冰箱嗎？,相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。,房間有冰箱嗎
160,07 房間設備與備品,有熱水壺嗎？,相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。,有熱水壺嗎
161,07 房間設備與備品,有吹風機嗎？,相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。,有吹風機嗎
162,07 房間設備與備品,有毛巾浴巾嗎？,備品提供依民宿規定；因環保政策，部分一次性用品可能不主動提供，建議自備個人盥洗用品。,有毛巾浴巾嗎
163,07 房間設備與備品,有牙刷牙膏嗎？,備品提供依民宿規定；因環保政策，部分一次性用品可能不主動提供，建議自備個人盥洗用品。,有牙刷牙膏嗎
164,07 房間設備與備品,有洗髮精沐浴乳嗎？,備品提供依民宿規定；因環保政策，部分一次性用品可能不主動提供，建議自備個人盥洗用品。,有洗髮精沐浴乳嗎
165,07 房間設備與備品,有洗衣機嗎？,相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。,有洗衣機嗎
166,07 房間設備與備品,有曬衣空間嗎？,相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。,有曬衣空間嗎
167,07 房間設備與備品,房間有插座嗎？,請勿自行使用高功率電器或不合格延長線；如需多孔插座或特殊用電請先詢問。,房間有插座嗎
168,07 房間設備與備品,可以使用延長線嗎？,請勿自行使用高功率電器或不合格延長線；如需多孔插座或特殊用電請先詢問。,可以使用延長線嗎
169,07 房間設備與備品,可以帶自己的電器嗎？,請勿自行使用高功率電器或不合格延長線；如需多孔插座或特殊用電請先詢問。,可以帶自己的電器
170,07 房間設備與備品,房間隔音好嗎？,民宿多為住宅型建築，隔音不一定等同飯店；晚間請降低音量，共同維持安寧。,房間隔音好嗎
171,07 房間設備與備品,房間有窗簾遮光嗎？,遮光與床墊軟硬屬房型與個人感受差異；若有睡眠需求，建議訂房前先詢問適合房型。,房間有窗簾遮光嗎
