id,category,question,aliases,answer,keywords,answer_mode,status,priority,last_verified_at,internal_note,
faq-011,訂房與空房,可以包棟嗎？,能不能包棟？｜可不可以包棟？,可以，慢慢蒔光主要提供整棟 5 間主題房的包棟 villa，適合親友、家庭與團體入住。請提供入住日期、退房日期、總人數、寵物與特殊需求，管家會協助確認房況與報價。,包棟｜訂房｜空房｜房況,collect_info,approved,80,,需收集日期、人數與寵物資訊後確認房況與報價。,"可以喔！民宿平時主要以包棟為主。
您可以直接在線上訂房系統確認日期與進行預訂！"
faq-012,訂房與空房,包棟會有其他客人嗎？,,不會。包棟期間不會安排其他陌生旅客入住，客用房間與公共空間會由同一組旅客使用；非客用工作區仍依入住說明為準。,包棟｜訂房｜空房｜房況,direct,approved,80,,包棟不與其他陌生旅客併住。,"不會！包棟期間不會有其他陌生旅客。
所有客房與公共空間均由您這組貴賓獨享；非客用工作區則依入住說明為準。"
faq-013,訂房與空房,可以只訂部分房間不包棟嗎？,能不能只訂部分房間不包棟？｜可不可以只訂部分房間不包棟？,慢慢蒔光主要以包棟為主；淡季或特定日期若後台有開放單間客房，才可申請部分房間。請提供入住日期、需要房數與人數，由管家確認是否開放及最新房況。,包棟｜訂房｜空房｜房況,collect_info,approved,80,,單間客房僅於後台開放時可預約。,"民宿主要以包棟為主。
僅淡季或特定日期才開放單間預訂"
faq-014,訂房與空房,平日和假日怎麼分？,平日和假日如何分,一般週日至週四為平日，週五採週五價，週六採假日價；連續假日、暑假與春節則依當期房價公告認定。特定日期的實際價格仍以管家確認為準。,平日｜假日｜訂房｜空房｜房況,direct,approved,80,,日期分類依正式房價規則。,"週日至週四為平日，週五與週六採假日價；連續假日、暑假與春節則依當期公告為準。

特定日期的實際價格，一律以線上訂房系統或官方確認為主。"
faq-015,訂房與空房,春節或連假可以訂嗎？,,可以，但需以當期開放日期與實際房況為準。春節與連假可能採不同房價；請提供入住日期與人數，由管家協助確認。,連假｜春節｜訂房｜空房｜房況,collect_info,approved,80,,春節與連假需確認開放日期、房況及當期規則。,"可以的！不過春節與連假採不同房價與規定。

實際開放日期與房況，請直接至線上訂房系統查詢預訂喔！"
faq-016,訂房與空房,可以候補嗎？,能不能候補？｜可不可以候補？,可以留下日期、人數與聯絡方式；若有房況釋出，我們會依候補順序通知。,候補｜訂房｜空房｜房況,collect_info,approved,80,,,
faq-017,訂房與空房,可以訂當天住宿嗎？,能不能訂當天住宿？｜可不可以訂當天住宿？,若當日仍有空房且整理時間足夠，可以接受當日訂房；建議先電話或LINE確認後再前往。,當天住宿｜訂房｜空房｜房況,direct,approved,80,,,
faq-018,訂房與空房,官網、平台和LINE價格一樣嗎？,,不同通路可能因平台費用、活動或付款條件而有差異，以實際下訂頁面或民宿正式回覆報價為準。,訂房｜空房｜房況,collect_info,approved,80,,,
faq-019,訂房與空房,訂房成功會收到什麼資料？,預約成功會收到什麼資料,訂房確認後會提供入住日期、退房日期、住宿方式、入住人數、金額、付款狀態、入住須知與聯絡方式；若未收到，請用訂房姓名與日期向官方 LINE 查詢。,訂房｜空房｜房況,direct,approved,80,,,
faq-020,訂房與空房,我沒收到確認信怎麼辦？,我沒收到確認信該怎麼處理？｜我沒收到確認信要如何處理,請先確認垃圾信件匣或信箱是否填錯；若仍未收到，請透過官方 LINE 提供訂房姓名、入住日期與聯絡電話，管家會協助查詢。,訂房｜空房｜房況,direct,approved,80,,,
faq-021,訂房與空房,訂房姓名可以更改嗎？,預約姓名可以更改嗎,可協助變更或代訂，但入住時需提供實際入住代表人的真實資料並完成住宿登記。,訂房｜空房｜房況,direct,approved,80,,,
faq-022,訂房與空房,可以幫朋友或家人代訂嗎？,能不能幫朋友或家人代訂？｜可不可以幫朋友或家人代訂？,可協助變更或代訂，但入住時需提供實際入住代表人的真實資料並完成住宿登記。,訂房｜空房｜房況,collect_info,approved,80,,,
faq-023,訂房與空房,未成年可以自己訂房嗎？,未成年可以自己預約嗎,通常需由成年人作為訂房與入住代表；未成年同行請由家長或監護人確認並遵守民宿規定。,訂房｜空房｜房況,direct,approved,80,,,
faq-024,訂房與空房,可以訂長住嗎？,能不能訂長住？｜可不可以訂長住？,可提供入住期間與人數讓我們評估房況、清潔安排與價格；長住規則可能與一般住宿不同。,長住｜訂房｜空房｜房況,collect_info,approved,80,,,
faq-025,訂房與空房,訂房需要提供哪些資料？,訂房要提供哪些資料｜預約需要提供哪些資料,請提供入住日期、退房日期、人數、房型或包棟需求與特殊需求，我們會協助確認最適合的訂房方式。,訂房｜空房｜房況,collect_info,approved,80,,,
faq-026,房價與付款,房價是多少？,房價是怎麼算？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,房價｜付款｜費用,collect_info,approved,80,,,
faq-027,房價與付款,包棟價格怎麼算？,包棟價格如何算,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,包棟價格｜房價｜付款｜費用,collect_info,approved,80,,,
faq-028,房價與付款,價格包含哪些費用？,價格包含哪些費用,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,房價｜付款｜費用,collect_info,approved,80,,,
faq-029,房價與付款,有另外收清潔費嗎？,請問有另外收清潔費嗎｜另外收清潔費有提供嗎,一般正常清潔多已包含於報價；若有寵物、嚴重髒污、嘔吐、煙味或設備損壞，可能依規定另收費。,清潔費｜房價｜付款｜費用,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-030,房價與付款,小孩也算人數嗎？,,兒童或嬰兒是否計費會依年齡、身高、是否佔床與民宿規定判斷；請提供孩子年齡方便確認。,房價｜付款｜費用,collect_info,approved,80,,,
faq-031,房價與付款,嬰兒需要收費嗎？,嬰兒要收費嗎,兒童或嬰兒是否計費會依年齡、身高、是否佔床與民宿規定判斷；請提供孩子年齡方便確認。,房價｜付款｜費用,collect_info,approved,80,,,
faq-032,房價與付款,加人怎麼收費？,加人如何收費,超過基本人數或需加床時，會依每人每晚或每床規則加收費用，並提供相應寢具與備品。,房價｜付款｜費用,collect_info,approved,80,,,
faq-033,房價與付款,加床怎麼收費？,加床如何收費,超過基本人數或需加床時，會依每人每晚或每床規則加收費用，並提供相應寢具與備品。,房價｜付款｜費用,collect_info,approved,80,,,
faq-034,房價與付款,尾款可以什麼時候付？,,尾款支付時間與方式會在訂房確認訊息中載明，常見為入住前匯款或入住當日結清。,尾款｜房價｜付款｜費用,direct,approved,80,,,
faq-035,房價與付款,可以刷卡嗎？,能不能刷卡？｜可不可以刷卡？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,刷卡｜房價｜付款｜費用,collect_info,approved,80,,答案可使用，但需提醒依當期資訊確認,
faq-036,房價與付款,可以用轉帳嗎？,能不能用轉帳？｜可不可以用轉帳？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,轉帳｜房價｜付款｜費用,collect_info,approved,80,,答案可使用，但需提醒依當期資訊確認,
faq-037,房價與付款,可以用現金嗎？,能不能用現金？｜可不可以用現金？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,現金｜房價｜付款｜費用,collect_info,approved,80,,答案可使用，但需提醒依當期資訊確認,
faq-038,房價與付款,可以用行動支付嗎？,能不能用行動支付？｜可不可以用行動支付？,付款方式以民宿當期公告為準；若使用未列出的支付方式，請先詢問確認，避免現場無法付款。,行動支付｜房價｜付款｜費用,collect_info,approved,80,,答案可使用，但需提醒依當期資訊確認,
faq-039,房價與付款,可以開發票嗎？,能不能開發票？｜可不可以開發票？,如需發票、收據、公司抬頭或統編，請在付款前提供資料；可開立格式依民宿稅籍與作業規定。,發票｜房價｜付款｜費用,ask_human,approved,80,,此題需人工依個案處理，不由慢寶直接承諾,
faq-040,房價與付款,可以報公司帳嗎？,能不能報公司帳？｜可不可以報公司帳？,如需發票、收據、公司抬頭或統編，請在付款前提供資料；可開立格式依民宿稅籍與作業規定。,房價｜付款｜費用,direct,approved,80,,,
faq-041,房價與付款,可以分開付款嗎？,能不能分開付款？｜可不可以分開付款？,多人付款建議由一位代表統一付款；若需分開付款，請先確認民宿是否可協助對帳。,房價｜付款｜費用,collect_info,approved,80,,,
faq-042,房價與付款,多人包棟可以各自轉帳嗎？,,多人是否可分開轉帳，需先由管家確認對帳方式與付款期限。建議由一位代表統一付款；若確實需要分開付款，請先提供付款人數與預計方式。,包棟｜轉帳｜房價｜付款｜費用,collect_info,approved,80,,原答案未回答分開轉帳問題。,
faq-043,房價與付款,付款後如何確認？,,付款後請回傳訂房姓名、入住日期、金額與帳號後五碼；若匯錯金額請立即聯繫協助補差或退款。,房價｜付款｜費用,collect_info,approved,80,,,
faq-044,房價與付款,匯錯金額怎麼辦？,匯錯金額該怎麼處理？｜匯錯金額要如何處理,付款後請回傳訂房姓名、入住日期、金額與帳號後五碼；若匯錯金額請立即聯繫協助補差或退款。,房價｜付款｜費用,direct,approved,80,,,
faq-045,房價與付款,訂金可以折抵房費嗎？,,訂金會計入總房費，尾款只需支付扣除訂金後的餘額；實際尾款金額與付款方式會在管家確認訊息中列明。,訂金｜房價｜付款｜費用,collect_info,approved,80,,,
faq-046,房價與付款,價格可以優惠嗎？,價格可以優惠嗎,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,優惠｜房價｜付款｜費用,collect_info,approved,80,,,
faq-047,房價與付款,連住有優惠嗎？,,若有官網優惠、早鳥、連住、生日或紀念日活動，會依當期公告適用；請先提供日期與需求。,連住｜優惠｜房價｜付款｜費用,collect_info,approved,80,,,
faq-048,房價與付款,生日或紀念日有優惠嗎？,,若有官網優惠、早鳥、連住、生日或紀念日活動，會依當期公告適用；請先提供日期與需求。,優惠｜房價｜付款｜費用,collect_info,approved,80,,,
faq-049,房價與付款,寵物需要另外收費嗎？,寵物要另外收費嗎｜毛孩需要另外收費嗎,寵物可能依種類、數量與大小收取清潔費或押金；請訂房時先告知，費用會事前說明。,寵物｜房價｜付款｜費用,collect_info,approved,80,,,
faq-050,房價與付款,押金什麼時候退？,,押金為 6000 元。退房後經清潔與設備確認無損壞、無污損及無違規情形，會依原約定方式全額退還；若有損壞、污損或額外清潔需求，將依實際情況處理。,押金｜房價｜付款｜費用,direct,approved,80,,依正式住宿規則：押金6000元。,
faq-051,取消改期與不可抗力,取消訂房可以退訂金嗎？,取消預約可以退訂金嗎,取消與退款依訂房時同意的政策、通知時間與付款方式辦理；請越早聯繫越能保留彈性。,取消｜訂金｜改期｜退款,ask_human,approved,80,,此題需人工依個案處理，不由慢寶直接承諾,
faq-052,取消改期與不可抗力,14天前取消可以全退嗎？,,若採訂金制，旅客於預定住宿日前第14日以前通知取消，通常可請求退還已付訂金100%。,取消｜改期｜退款,ask_human,approved,80,,此題需人工依個案處理，不由慢寶直接承諾,
faq-053,取消改期與不可抗力,入住前10到13天取消怎麼算？,入住前10到13天取消如何算,若採訂金制，預定住宿日前第10日至第13日通知取消，通常可請求退還訂金70%。,取消｜改期｜退款,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-054,取消改期與不可抗力,入住前7到9天取消怎麼算？,入住前7到9天取消如何算,若採訂金制，預定住宿日前第7日至第9日通知取消，通常可請求退還訂金50%。,取消｜改期｜退款,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-055,取消改期與不可抗力,入住前4到6天取消怎麼算？,入住前4到6天取消如何算,若採訂金制，預定住宿日前第4日至第6日通知取消，通常可請求退還訂金40%。,取消｜改期｜退款,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-056,取消改期與不可抗力,入住前2到3天取消怎麼算？,入住前2到3天取消如何算,若採訂金制，預定住宿日前第2日至第3日通知取消，通常可請求退還訂金30%。,取消｜改期｜退款,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-057,取消改期與不可抗力,入住前一天取消怎麼算？,入住前一天取消如何算,若採訂金制，預定住宿日前第1日通知取消，通常可請求退還訂金20%。,取消｜改期｜退款,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-058,取消改期與不可抗力,入住當天取消會退費嗎？,,入住當天取消、未通知或未入住，通常可能不退還訂金或預付款；請盡早聯繫確認可否改期。,退費｜取消｜改期｜退款,direct,approved,80,,,
faq-059,取消改期與不可抗力,臨時不能去可以改期嗎？,,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,改期｜取消｜退款,collect_info,approved,80,,,
faq-060,取消改期與不可抗力,改期需要手續費嗎？,改期要手續費嗎,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,改期｜取消｜退款,collect_info,approved,80,,,
faq-061,取消改期與不可抗力,改期後還可以再取消嗎？,,可先提出改期需求；若民宿同意且仍有空房，會依規則協助改期，差價與可改次數以公告為準。,改期｜取消｜退款,collect_info,approved,80,,,
faq-062,取消改期與不可抗力,颱風可以取消嗎？,,若因颱風、地震、停班停課或交通中斷影響入住，請立即聯繫；會依政府公告、交通狀況與訂房政策協助退費或延期。,颱風｜取消｜改期｜退款,direct,approved,80,,,
faq-063,取消改期與不可抗力,如果宜蘭停班停課可以退嗎？,,若因颱風、地震、停班停課或交通中斷影響入住，請立即聯繫；會依政府公告、交通狀況與訂房政策協助退費或延期。,停班停課｜取消｜改期｜退款,direct,approved,80,,,
faq-064,取消改期與不可抗力,下雨可以取消或延期嗎？,,一般降雨多屬個人行程考量，不一定符合不可抗力；若達危險天候或交通中斷，請提供狀況讓民宿判斷。,取消｜改期｜退款,collect_info,approved,80,,,
faq-065,取消改期與不可抗力,有人生病可以取消嗎？,請問有人生病可以取消嗎｜人生病可以取消有提供嗎,請主動告知並避免帶病入住；民宿會依當期規範、證明文件與訂房政策協助取消或延期。,取消｜改期｜退款,direct,needs_review,80,,待屋主確認實際規則、設備或當期資訊,
faq-066,取消改期與不可抗力,確診或傳染病可以延期嗎？,,請主動告知並避免帶病入住；民宿會依當期規範、證明文件與訂房政策協助取消或延期。,傳染病｜取消｜改期｜退款,direct,approved,80,,,
faq-067,取消改期與不可抗力,人數減少可以退差價嗎？,,請於入住前盡早告知；是否可退差額需依原方案、人數規則與通知時間辦理。,人數減少｜取消｜改期｜退款,direct,approved,80,,答案可使用，但需提醒依當期資訊確認,
faq-068,取消改期與不可抗力,人數增加可以補費嗎？,,增加人數需先確認未超過最大容納且備品足夠，再依加人費補差額；請勿未告知自行增加入住者。,人數增加｜取消｜改期｜退款,direct,approved,80,,,
faq-069,取消改期與不可抗力,可以更換房型嗎？,能不能更換房型？｜可不可以更換房型？,可依當日房況協助更換；若房價不同，需補差額或依民宿規則處理差價。,更換房型｜取消｜改期｜退款,direct,approved,80,,,
faq-070,取消改期與不可抗力,可以少住一天嗎？,能不能少住一天？｜可不可以少住一天？,住宿天數變更需盡早提出；若已進入取消期限或為特殊方案，未住宿晚數不一定能退費。,取消｜改期｜退款,direct,approved,80,,,
faq-071,取消改期與不可抗力,可以延長住宿嗎？,能不能延長住宿？｜可不可以延長住宿？,若後續日期仍有空房，可以協助延住；延住房價以當日公告或民宿正式回覆為準。,延長住宿｜取消｜改期｜退款,collect_info,approved,80,,,
faq-072,取消改期與不可抗力,平台訂房要怎麼取消？,平台訂房要如何取消｜平台預約要怎麼取消？,平台訂房請優先在平台訂單中操作取消或變更；平台政策與民宿直接訂房政策可能不同。,取消｜改期｜退款,direct,approved,80,,,
faq-073,取消改期與不可抗力,官網訂房要怎麼取消？,官網訂房要如何取消｜官網預約要怎麼取消？,請透過官方LINE、電話或訂房系統提出，並提供訂房姓名、日期、訂單編號、付款金額與退款帳戶資料。,取消｜改期｜退款,direct,approved,80,,,
faq-074,取消改期與不可抗力,退費多久會入帳？,,退款時間會依付款方式、銀行作業與民宿處理流程而不同；確認資料完整後會告知預計辦理時間。,退費｜取消｜改期｜退款,direct,approved,80,,,
faq-075,取消改期與不可抗力,取消訂房需要提供什麼資料？,取消訂房要提供什麼資料｜取消預約需要提供什麼資料,請透過官方LINE、電話或訂房系統提出，並提供訂房姓名、日期、訂單編號、付款金額與退款帳戶資料。,取消｜改期｜退款,direct,approved,80,,,
faq-076,入住退房與抵達,幾點可以入住？,什麼時間可以入住？,入住時間為 16:00–17:00。若需要提早抵達、先放行李或可能晚到，請提前告知管家，以便確認是否能配合。,入住｜退房｜抵達,direct,approved,80,,正式入住時間為16:00–17:00。,
faq-077,入住退房與抵達,幾點要退房？,什麼時間要退房｜幾點要退宿？,退房時間為隔日 12:00 前。離開前請歸還鑰匙並關閉非必要電源；冷氣無需關閉。,入住｜退房｜抵達,direct,approved,80,,正式退房時間為12:00前。,
faq-078,入住退房與抵達,可以提早入住嗎？,能不能提早入住？｜可不可以提早入住？,提早入住或提前使用公共空間需視前一晚房況與清潔進度而定，建議入住前1至2天再次確認。,提早入住｜退房｜抵達,direct,approved,80,,,
faq-079,入住退房與抵達,可以延後退房嗎？,能不能延後退房？｜可不可以延後退房？｜可以延後退宿嗎,延後退房需視後續訂房與清潔安排評估；若可延退，可能依公告加收延退費。,延後退房｜入住｜抵達,collect_info,approved,80,,,
faq-080,入住退房與抵達,最晚可以幾點入住？,最晚可以什麼時間入住？,正常入住時間為 16:00–17:00；若會晚於 17:00 抵達，請提前告知預計時間，由管家確認入住安排。,入住｜退房｜抵達,collect_info,approved,80,,原答案與正式入住時間衝突，已修正。,
faq-081,入住退房與抵達,晚上很晚到會影響入住嗎？,,若會晚到，請提前告知預計抵達時間；我們會依接待方式安排鑰匙、自助入住或管家協助，並請保持安靜。,晚到｜入住｜退房｜抵達,collect_info,approved,80,,,
faq-082,入住退房與抵達,入住當天需要帶什麼？,入住當天要帶什麼,請攜帶身分證明文件、訂房確認資料、付款尾款或付款證明，以及個人藥品與個人用品。,入住｜退房｜抵達,direct,approved,80,,,
faq-083,入住退房與抵達,入住需要出示身分證嗎？,入住要出示身分證嗎,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,身分證｜入住｜退房｜抵達,ask_human,approved,80,,此題需人工依個案處理，不由慢寶直接承諾,
faq-084,入住退房與抵達,每個人都要登記資料嗎？,,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,入住｜退房｜抵達,direct,approved,80,,,
faq-085,入住退房與抵達,外國旅客可以入住嗎？,,民宿依法需登記住宿旅客資料；請出示身分證、護照或居留證等有效證件，資料會依個資規定妥善處理。,入住｜退房｜抵達,direct,approved,80,,,
faq-086,入住退房與抵達,可以自助入住嗎？,能不能自助入住？｜可不可以自助入住？,若提供自助入住，會在入住前提供門禁、鑰匙盒或密碼說明；請勿轉傳給非入住者，退房後密碼會更新。,自助入住｜退房｜抵達,direct,approved,80,,,
faq-087,入住退房與抵達,鑰匙怎麼拿？,鑰匙如何拿,若提供自助入住，會在入住前提供門禁、鑰匙盒或密碼說明；請勿轉傳給非入住者，退房後密碼會更新。,鑰匙｜入住｜退房｜抵達,direct,approved,80,,,
faq-088,入住退房與抵達,門鎖密碼什麼時候給？,,若提供自助入住，會在入住前提供門禁、鑰匙盒或密碼說明；請勿轉傳給非入住者，退房後密碼會更新。,門鎖密碼｜入住｜退房｜抵達,direct,approved,80,,,
faq-089,入住退房與抵達,找不到民宿入口怎麼辦？,找不到民宿入口該怎麼處理？｜找不到民宿入口要如何處理｜找不到慢慢蒔光入口怎麼辦？,請依入住通知前往指定入口或報到位置；若找不到，請傳目前位置或直接撥打聯絡電話。,入住｜退房｜抵達,direct,approved,80,,,
faq-090,入住退房與抵達,抵達後要先去哪裡報到？,,請依入住通知前往指定入口或報到位置；若找不到，請傳目前位置或直接撥打聯絡電話。,入住｜退房｜抵達,direct,approved,80,,,
faq-091,入住退房與抵達,可以先放行李嗎？,能不能先放行李？｜可不可以先放行李？,可視當日人力與空間提供行李寄放；貴重物品請自行保管，並先告知抵達或取回時間。,入住｜退房｜抵達,direct,approved,80,,,
faq-092,入住退房與抵達,退房後可以寄放行李嗎？,退宿後可以寄放行李嗎,可視當日人力與空間提供行李寄放；貴重物品請自行保管，並先告知抵達或取回時間。,入住｜退房｜抵達,collect_info,approved,80,,,
faq-093,入住退房與抵達,退房流程是什麼？,退宿流程是什麼,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,入住｜退房｜抵達,direct,approved,80,,,
faq-094,入住退房與抵達,退房需要檢查房間嗎？,退房要檢查房間嗎｜退宿需要檢查房間嗎,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,入住｜退房｜抵達,direct,approved,80,,,
faq-095,入住退房與抵達,忘記退房時間怎麼辦？,忘記退房時間該怎麼處理？｜忘記退房時間要如何處理｜忘記退宿時間怎麼辦？,退房時間為隔日 12:00 前。若忘記或可能延後，請立即聯繫管家確認；未經同意延遲退房可能影響清潔與下一組入住安排。,退房時間｜入住｜抵達,direct,approved,80,,原答案未回答退房時間。,
faq-096,入住退房與抵達,退房可以不用見到管家嗎？,退宿可以不用見到管家嗎,退房前請確認個人物品、關閉電器與門窗、垃圾依指定方式處理，並依指示歸還鑰匙或完成自助退房。,管家｜入住｜退房｜抵達,direct,approved,80,,,
faq-097,入住退房與抵達,提早到可以使用公共空間嗎？,,提早入住或提前使用公共空間需視前一晚房況與清潔進度而定，建議入住前1至2天再次確認。,公共空間｜入住｜退房｜抵達,direct,approved,80,,,
faq-098,入住退房與抵達,退房後還可以使用設施嗎？,退宿後還可以使用設施嗎,退房後通常不再開放使用房間與公共設施，以利清潔與準備下一組客人；特殊需求請先詢問。,入住｜退房｜抵達,collect_info,approved,80,,答案可使用，但需提醒依當期資訊確認,
faq-099,入住退房與抵達,入住前會提供哪些資訊？,,入住前通常會提供地址、導航、停車、入住時間、門禁、Wi-Fi、設備使用、退房流程與緊急聯絡方式。,入住｜退房｜抵達,direct,approved,80,,,
faq-100,入住退房與抵達,入住當天聯絡不到怎麼辦？,入住當天聯絡不到該怎麼處理？｜入住當天聯絡不到要如何處理,請先確認使用官方電話或LINE；緊急狀況依入住通知中的備用電話或緊急聯絡方式處理。,入住｜退房｜抵達,direct,approved,80,,,
faq-101,交通停車與周邊,民宿地址在哪裡？,慢慢蒔光地址在哪裡？,訂房確認後會提供地址、Google地圖連結與建議路線；建議直接點官方定位，避免導航到相近地點。,地址｜交通｜停車｜周邊,direct,approved,80,,,
